Stand;Kanton;Jahr;Stufe;Schultyp;Geschlecht;Nationalitaet;Traegerschaft;Finanzierung;Anzahl
16.11.2020;tg;2007;Kindergartenstufe;Heim- und Sonderschule;M;Ausländer;oef;oef;1
16.11.2020;tg;2007;Kindergartenstufe;Volksschule;F;Ausländer;priv;priv;6
16.11.2020;tg;2007;Kindergartenstufe;Heim- und Sonderschule;F;CH;priv;oef;12
16.11.2020;tg;2007;Kindergartenstufe;Heim- und Sonderschule;M;CH;oef;oef;13
16.11.2020;tg;2007;Kindergartenstufe;Heim- und Sonderschule;M;CH;priv;oef;31
16.11.2020;tg;2007;Kindergartenstufe;Volksschule;M;Ausländer;priv;priv;4
16.11.2020;tg;2007;Kindergartenstufe;Volksschule;M;CH;oef;oef;1867
16.11.2020;tg;2007;Kindergartenstufe;Volksschule;M;Ausländer;oef;oef;532
16.11.2020;tg;2007;Kindergartenstufe;Volksschule;F;Ausländer;oef;oef;489
16.11.2020;tg;2007;Kindergartenstufe;Heim- und Sonderschule;F;Ausländer;priv;oef;2
16.11.2020;tg;2007;Kindergartenstufe;Heim- und Sonderschule;F;CH;oef;oef;5
16.11.2020;tg;2007;Kindergartenstufe;Volksschule;F;CH;oef;oef;1791
16.11.2020;tg;2007;Kindergartenstufe;Volksschule;F;CH;priv;priv;8
16.11.2020;tg;2007;Kindergartenstufe;Heim- und Sonderschule;M;Ausländer;priv;oef;2
16.11.2020;tg;2007;Kindergartenstufe;Volksschule;M;CH;priv;priv;13
16.11.2020;tg;2007;Kindergartenstufe;Heim- und Sonderschule;F;Ausländer;oef;oef;2
16.11.2020;tg;2007;Primarstufe;Volksschule;F;Ausländer;oef;oef;1717
16.11.2020;tg;2007;Primarstufe;Volksschule;M;Ausländer;oef;oef;1776
16.11.2020;tg;2007;Primarstufe;Heim- und Sonderschule;M;CH;priv;priv;6
16.11.2020;tg;2007;Primarstufe;Heim- und Sonderschule;F;Ausländer;priv;priv;6
16.11.2020;tg;2007;Primarstufe;Heim- und Sonderschule;F;CH;priv;priv;6
16.11.2020;tg;2007;Primarstufe;Heim- und Sonderschule;M;CH;priv;oef;195
16.11.2020;tg;2007;Primarstufe;Heim- und Sonderschule;M;Ausländer;oef;oef;16
16.11.2020;tg;2007;Primarstufe;Heim- und Sonderschule;M;CH;oef;oef;26
16.11.2020;tg;2007;Primarstufe;Volksschule;M;CH;oef;oef;6940
16.11.2020;tg;2007;Primarstufe;Volksschule;F;Ausländer;priv;priv;46
16.11.2020;tg;2007;Primarstufe;Volksschule;M;Ausländer;priv;priv;38
16.11.2020;tg;2007;Primarstufe;Heim- und Sonderschule;F;CH;oef;oef;14
16.11.2020;tg;2007;Primarstufe;Volksschule;F;CH;priv;priv;77
16.11.2020;tg;2007;Primarstufe;Heim- und Sonderschule;M;Ausländer;priv;oef;66
16.11.2020;tg;2007;Primarstufe;Volksschule;F;CH;oef;oef;6381
16.11.2020;tg;2007;Primarstufe;Heim- und Sonderschule;M;Ausländer;priv;priv;4
16.11.2020;tg;2007;Primarstufe;Heim- und Sonderschule;F;CH;priv;oef;91
16.11.2020;tg;2007;Primarstufe;Heim- und Sonderschule;F;Ausländer;priv;oef;26
